asin,product_title,brand,current_price,original_price,currency,discount_percentage,price_category,rating,rating_category,review_count,search_position,is_prime,is_sponsored,marketplace,search_query,product_url,image_url,extraction_date,extraction_timestamp
B0H3NYCNQZ,"2026 Kopfhörer Kabellos Bluetooth 5.4, 6D Stereo Bluetooth Kopfhörer, 56Std Tiefer Bass ENC Noise Cancelling Wireless Earbuds, 3g Mini USB-C in Ear Ohrhörer, IP-X7 Wasserdicht Headphones Android iOS",Unknown,24.49,,EUR,0.0,Budget,4.5,Good,24788,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/sspa/click?ie=UTF8&spc=MToyOTU1MzYyODQzOTUzODM6MTc4MTcyNTc0MzpzcF9hdGY6MzAxMDc1NjI4MDY3NzMyOjowOjo&url=%2FKopfh%25C3%25B6rer-Bluetooth-Cancelling-Wasserdicht-Headphones-Schwarz-Pro%2Fdp%2FB0H3NYCNQZ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY%26dib_tag%3Dse%26keywords%3Dwireless%2Bheadphones%26qid%3D1781725743%26sr%3D8-1-spons%26aref%3DshQg1ToiJg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=shQg1ToiJg&sp_cr=DUB,https://m.media-amazon.com/images/I/71mzb4mx-yL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
B0H2ZQFT86,"Bluetooth Kopfhörer, 2026 Kopfhörer Kabellos Bluetooth 5.4 HiFi Stereo, 56 Std Spielzeit In Ear Kopfhörer mit 6 ENC Noise Cancelling Mics, IP7 Wasserdicht Kabellose Kopfhörer, Ohrhörer mit LED-Anzeige",Unknown,24.99,,EUR,0.0,Budget,4.9,Excellent,136,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/sspa/click?ie=UTF8&spc=MToyOTU1MzYyODQzOTUzODM6MTc4MTcyNTc0MzpzcF9hdGY6MzAxMTQ0NDA2NzUzODMyOjowOjo&url=%2FBluetooth-Kopfh%25C3%25B6rer-Cancelling-Wasserdicht-LED-Anzeige-Schwarz%2Fdp%2FB0H2ZQFT86%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY%26dib_tag%3Dse%26keywords%3Dwireless%2Bheadphones%26qid%3D1781725743%26sr%3D8-2-spons%26aref%3DpnZ8ZIWSoR%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=pnZ8ZIWSoR&sp_cr=DUB,https://m.media-amazon.com/images/I/71kjUJDeRRL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
B0H362HN2Z,"Bluetooth Kopfhörer, Kopfhörer Kabellos Bluetooth 5.4, 128 Std Spielzeit Kabellose Kopfhörer mit 4 ENC Noise Cancelling Mics, Tiefer Bass, IP7 wasserdichte Ohrhörer mit Ohrhaken für Studium und Sport",Unknown,35.99,,EUR,0.0,Mid-range,4.8,Excellent,29,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/sspa/click?ie=UTF8&spc=MToyOTU1MzYyODQzOTUzODM6MTc4MTcyNTc0MzpzcF9hdGY6MzAxMTQyNzM4MjEyMTMyOjowOjo&url=%2FBluetooth-Kopfh%25C3%25B6rer-Spielzeit-Cancelling-wasserdichte-Schwarz%2Fdp%2FB0H362HN2Z%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY%26dib_tag%3Dse%26keywords%3Dwireless%2Bheadphones%26qid%3D1781725743%26sr%3D8-3-spons%26aref%3DioFE2X30Am%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=ioFE2X30Am&sp_cr=DUB,https://m.media-amazon.com/images/I/71U7f4-XvdL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
B0BTYCRJSS,"soundcore by Anker P20i Kabellose Bluetooth Kopfhörer in-Ear, 10mm Treiber, Bluetooth 5.3, Anpassbarer EQ, 30 Std. Spielzeit, IPX5 wasserfest, 2 Mikros mit KI, einzeln verwendbar (Schwarz)",Soundcore,19.99,,EUR,0.0,Budget,4.3,Good,108356,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/soundcore-Kabellose-Anpassbarer-wasserfest-verwendbar-Schwarz/dp/B0BTYCRJSS/ref=sr_1_4?dib=eyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY&dib_tag=se&keywords=wireless+headphones&qid=1781725743&sr=8-4,https://m.media-amazon.com/images/I/5181ILcyQJL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
B0DHL93XCN,"JBL Wave Beam 2, Kabellose Bluetooth-In-Ear-Kopfhörer mit Noise-Cancelling, 40 h Wiedergabezeit, JBL Pure Bass Sound, Smart-Ambient-Technologie und Multipoint-Verbindung, Schwarz",JBL,49.0,,EUR,0.0,Mid-range,4.2,Good,7430,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Noise-Cancelling-Smart-Ambient-Technologie-Multipoint-Verbindung-Schwarz/dp/B0DHL93XCN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY&dib_tag=se&keywords=wireless+headphones&qid=1781725743&sr=8-5,https://m.media-amazon.com/images/I/61DFgTmj9xL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
B0BTJD6LCL,"Sony WH-CH520 Kabellose Bluetooth-Kopfhörer - bis zu 50 Stunden Akkulaufzeit mit Schnellladefunktion, On-Ear-Modell - Schwarz",Sony,29.0,,EUR,0.0,Budget,4.5,Good,43481,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/Sony-WH-CH520-Kabellose-Bluetooth-Kopfh%C3%B6rer-Ear-Modell-Schwarz/dp/B0BTJD6LCL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY&dib_tag=se&keywords=wireless+headphones&qid=1781725743&sr=8-6,https://m.media-amazon.com/images/I/61rFE093esL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
B0C3HCD34R,"soundcore by Anker Q20i kabelloser Bluetooth Over-Ear-Kopfhörer mit Hybrid Active Noise Cancelling, 40h Spielzeit im ANC-Modus, Hi-Res Audio, tiefer Bass, Personalisierung per App",Soundcore,28.49,,EUR,0.0,Budget,4.6,Excellent,67080,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/soundcore-kabelloser-Over-Ear-Kopfh%C3%B6rer-Cancelling-Personalisierung-Schwarz/dp/B0C3HCD34R/ref=sr_1_7?dib=eyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY&dib_tag=se&keywords=wireless+headphones&qid=1781725743&sr=8-7,https://m.media-amazon.com/images/I/616xECLO4QL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
B0GLFLMCLK,"yobola Kopfhörer Kabellos Bluetooth 5.4, In-Ear Ohrhörer HiFi Stereo Bass mit 4 HD Mikrofone, Mini Komfort IPX7 Wasserdicht Touch Steuerung USB-C 27Std Earbuds für Smartphones/Laptops/Sport",Unknown,23.99,,EUR,0.0,Budget,5.0,Excellent,48,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/sspa/click?ie=UTF8&spc=MToyOTU1MzYyODQzOTUzODM6MTc4MTcyNTc0MzpzcF9tdGY6MzAxMTQ4ODA3OTE1NDMyOjowOjo&url=%2Fyobola-Kopfh%25C3%25B6rer-Bluetooth-Wasserdicht-Smartphones-C-Wei%25C3%259F%2Fdp%2FB0GLFLMCLK%2Fref%3Dsr_1_8_sspa%3Fdib%3DeyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY%26dib_tag%3Dse%26keywords%3Dwireless%2Bheadphones%26qid%3D1781725743%26sr%3D8-8-spons%26aref%3Dba4HkSXeY9%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=ba4HkSXeY9&sp_cr=DUB,https://m.media-amazon.com/images/I/51R7oFKR7dL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
B0FH5Q2NZH,"Bowers & Wilkins Px8 S2 Kabellose Noise-Cancelling Kopfhörer mit Bluetooth, Schnellladefunktion, 30 Stunden hochauflösende Wiedergabe & Mikrofon - Warm Stone",Unknown,689.0,,EUR,0.0,Luxury,4.5,Good,420,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/sspa/click?ie=UTF8&spc=MToyOTU1MzYyODQzOTUzODM6MTc4MTcyNTc0MzpzcF9tdGY6MzAwNzk4MzYwMTQ5ODMyOjowOjo&url=%2FBowers-Wilkins-Noise-Cancelling-Schnellladefunktion-hochaufl%25C3%25B6sende-Warm-Stone%2Fdp%2FB0FH5Q2NZH%2Fref%3Dsr_1_9_sspa%3Fdib%3DeyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY%26dib_tag%3Dse%26keywords%3Dwireless%2Bheadphones%26qid%3D1781725743%26sr%3D8-9-spons%26aref%3Dh5FYKeN2SD%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=h5FYKeN2SD&sp_cr=DUB,https://m.media-amazon.com/images/I/51UGdSR6dOL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
B0FY2JJRB2,"Bluetooth Kopfhörer, In Ear Kopfhörer Kabellos Bluetooth 5.3 mit Noise Cancelling Mics, 48Std HiFi Stereo Kabellose Earbuds IP7 Wasserdicht, Wireless Ohrhörer Touch Control für iPhone/Android/Samsung",Samsung,10.99,,EUR,0.0,Budget,4.4,Good,1243,,False,False,Amazon Germany,wireless headphones,https://www.amazon.de/Bluetooth-Kopfh%C3%B6rer-Cancelling-Kabellose-Wasserdicht-Wei%C3%9F-TT9/dp/B0FY2JJRB2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.6bFymcQNAFwDinbk1Lz45Bv0tRYEFM2vgvb8mjd0V8iSD2biGxbjiJ5ckNzNWOXzhJrIIFGifwcLQfGY2N9LAeF2YJ0jb5EvDiJ0uE_2_RHXyAN-OllGrLEu62vEwg5NpHe8APqfZRhLHMySkhb6HGtQBQc1E-qJBthofA_LikOtAWf5V3wX4Mzv3gtbMcxGg5OVAijrU7iadqnQinUhafIp7r0VtPl2lO2WRUFo60I.g1uH3JBhY6SfDs06pFYiVd0okm63put8s_WMt5fYdzY&dib_tag=se&keywords=wireless+headphones&qid=1781725743&sr=8-10,https://m.media-amazon.com/images/I/51op8JmXyUL._AC_UY218_.jpg,2026-06-17,2026-06-17 21:49:06.632617
